Group,Resource Type,Resource Requirement,AZ Count,Resource per AZ,Access Geo-place,Temperature
C001,ecs.cloudservers,1000,,,Paris,hot
C001,vpc.bandwidths,1500,,,Paris,hot
C001,evs.volumes,1300,3,400/400/500,Paris,hot
C002,rds.nodes,2000,,,Shanghai,hot
C002,evs.volumes,1400,3,500/300/600,Shanghai,hot
C002,vpc.publicips,1700,4,300/400/500/500,Shanghai,hot
C003,as.scalingGroups,1800,4,400/600/400/400,Baoding,warm
C003,cbr.vault,1600,3,600/500/500,Baoding,warm
C003,vpc.publicips,1100,2,600/500,Baoding,warm
C004,vpc.securityGroups,1600,4,300/600/400/300,Hohhot,hot
C004,rds.nodes,1000,,,Hohhot,hot
C004,ecs.cloudservers,700,2,400/300,Hohhot,hot
C005,ecs.cloudservers,2500,,,Madrid,cold
C005,bms.servers,1100,3,400/300/400,Madrid,cold
C005,rds.instances,700,2,300/400,Madrid,cold
C006,rds.instances,2500,,,Xiamen,warm
C006,vpc.securityGroups,1000,,,Xiamen,warm
C006,vpc.bandwidths,2500,,,Xiamen,warm
C007,evs.volumes,800,2,400/400,Zhengzhou,hot
C007,vpc.bandwidths,1300,3,400/600/300,Zhengzhou,hot
C007,vpc.publicips,1600,4,500/500/300/300,Zhengzhou,hot
C008,vpc.publicips,2000,,,Fuzhou,hot
C008,vpc.securityGroups,1200,2,600/600,Fuzhou,hot
C008,rds.nodes,1000,,,Fuzhou,hot
C009,evs.volumes,800,2,300/500,Fuzhou,cold
C009,vpc.securityGroups,1000,2,500/500,Fuzhou,cold
C009,vpc.bandwidths,2000,,,Fuzhou,cold
C010,bms.servers,1700,4,500/300/300/600,Beijing,cold
C010,vpc.bandwidths,2500,,,Beijing,cold
C010,rds.instances,1800,4,400/400/400/600,Beijing,cold
C011,rds.instances,1500,4,400/300/300/500,Qingdao,hot
C011,as.scalingGroups,900,2,400/500,Qingdao,hot
C011,vpc.bandwidths,1300,3,300/600/400,Qingdao,hot
C012,vpc.publicips,2000,,,Qingdao,cold
C012,evs.volumes,1000,,,Qingdao,cold
C012,vpc.vpcs,2000,,,Qingdao,cold
C013,ecs.cloudservers,1400,3,400/500/500,Wenzhou,warm
C013,vpc.securityGroups,2000,,,Wenzhou,warm
C013,cbr.vault,1800,4,300/500/600/400,Wenzhou,warm
C014,evs.volumes,2500,,,Beijing,hot
C014,rds.instances,2000,,,Beijing,hot
C014,vpc.publicips,1100,2,500/600,Beijing,hot
C015,vpc.publicips,900,3,300/300/300,Shenzhen,hot
C015,cbr.vault,1900,4,600/500/400/400,Shenzhen,hot
C015,ecs.cloudservers,1400,3,600/500/300,Shenzhen,hot
C016,vpc.vpcs,2000,,,Xianggang,cold
C016,rds.instances,2500,,,Xianggang,cold
C016,as.scalingGroups,700,2,400/300,Xianggang,cold
C017,vpc.publicips,1500,,,Tianjin,hot
C017,ecs.cloudservers,1000,,,Tianjin,hot
C017,evs.volumes,2500,,,Tianjin,hot
C018,vpc.bandwidths,1000,,,Ningbo,hot
C018,cbr.vault,2500,,,Ningbo,hot
C018,as.scalingGroups,900,2,300/600,Ningbo,hot
C019,bms.servers,900,2,300/600,Hefei,warm
C019,ecs.cloudservers,1100,2,600/500,Hefei,warm
C019,vpc.securityGroups,1000,,,Hefei,warm
C020,vpc.securityGroups,1200,3,500/400/300,Qingdao,cold
C020,cbr.vault,1500,,,Qingdao,cold
C020,as.scalingGroups,2000,,,Qingdao,cold
